gage,date,AcreFeet
6803486.00,2000-12-31,2201.06
6803486.00,2001-12-31,34437.34
6803486.00,2002-12-31,13491.21
6803486.00,2003-12-31,10859.16
6803486.00,2004-12-31,8893.76
6803486.00,2005-12-31,11422.25
6803486.00,2006-12-31,12576.21
6803486.00,2007-12-31,62805.78
6803486.00,2008-12-31,95886.49
6803486.00,2009-12-31,31100.02
6803486.00,2010-12-31,71793.28
6803486.00,2011-12-31,44719.31
6803486.00,2012-12-31,16833.02
6803486.00,2013-12-31,16039.25
6803486.00,2014-12-31,70419.99
6803486.00,2015-12-31,68874.41
6803486.00,2016-12-31,79819.39
6803486.00,2017-12-31,71579.47
6803486.00,2018-12-31,53371.01
6803486.00,2019-12-31,127235.04
6803495.00,2005-12-31,46383.25
6803495.00,2006-12-31,44310.52
6803495.00,2007-12-31,169856.44
6803495.00,2008-12-31,252522.71
6803495.00,2009-12-31,74851.40
6803495.00,2010-12-31,214021.77
6803495.00,2011-12-31,143072.25
6803495.00,2012-12-31,66706.87
6803495.00,2013-12-31,78682.27
6803495.00,2014-12-31,147447.39
6803495.00,2015-12-31,331812.12
6803495.00,2016-12-31,202611.66
6803495.00,2017-12-31,177919.24
6803495.00,2018-12-31,175197.52
6803495.00,2019-12-31,324458.01
