Site_No,Month,Mean,Max,Min
06803486,1,34.36,210.0,3.65
06803486,2,40.39,370.0,5.23
06803486,3,78.02,4680.0,8.68
06803486,4,49.15,638.0,9.42
06803486,5,155.81,3740.0,7.58
06803486,6,157.11,2530.0,6.93
06803486,7,61.04,1620.0,3.86
06803486,8,57.08,2250.0,5.01
06803486,9,44.29,1150.0,3.5
06803486,10,42.05,1570.0,3.3
06803486,11,27.89,106.0,6.42
06803486,12,39.53,1090.0,5.86
06803495,1,98.19,636.0,31.3
06803495,2,111.73,673.0,30.0
06803495,3,223.71,12600.0,32.0
06803495,4,168.59,2640.0,34.5
06803495,5,610.54,27800.0,36.1
06803495,6,584.89,10200.0,30.8
06803495,7,207.5,3140.0,23.6
06803495,8,147.01,2550.0,23.8
06803495,9,174.88,7190.0,21.4
06803495,10,180.18,10500.0,22.7
06803495,11,82.52,398.0,27.6
06803495,12,138.25,3230.0,26.5
